Title,Comapny,Date,Link,Industry,Occupation,Type
Customer Service Representative - Toronto West,Money Mart Financial Inc,11/17/2020,https://ca.linkedin.com/jobs/view/customer-service-representative-toronto-west-at-money-mart-financial-inc-2312678292?refId=412f1083-75c4-43ea-8c5d-a396cdccd1bd&position=14&pageNum=2&trk=public_jobs_job-result-card_result-card_full-click,Trade,retail store,Full Time
Store Manager,Dollarama,11/26/2020,https://ca.linkedin.com/jobs/view/store-manager-at-dollarama-2323256199?refId=412f1083-75c4-43ea-8c5d-a396cdccd1bd&position=15&pageNum=2&trk=public_jobs_job-result-card_result-card_full-click,Trade,retail store,Full Time
"Seasonal Sales Associate (Brick Specialist) - Sherway Gardens, CAN",the LEGO Group,11/23/2020,https://ca.linkedin.com/jobs/view/seasonal-sales-associate-brick-specialist-sherway-gardens-can-at-the-lego-group-2233026977?refId=412f1083-75c4-43ea-8c5d-a396cdccd1bd&position=16&pageNum=2&trk=public_jobs_job-result-card_result-card_full-click,Trade,retail store,Full Time
LWS - Head Cashier,"Lowe's Companies, Inc.",11/20/2020,https://ca.linkedin.com/jobs/view/lws-head-cashier-at-lowe-s-companies-inc-2316664371?refId=412f1083-75c4-43ea-8c5d-a396cdccd1bd&position=17&pageNum=2&trk=public_jobs_job-result-card_result-card_full-click,Trade,retail store,Full Time
Store Leader Canada (Manager)-INTHIPO,7-Eleven,11/24/2020,https://ca.linkedin.com/jobs/view/store-leader-canada-manager-inthipo-at-7-eleven-2320362557?refId=412f1083-75c4-43ea-8c5d-a396cdccd1bd&position=18&pageNum=2&trk=public_jobs_job-result-card_result-card_full-click,Trade,retail store,Full Time
Loss Prevention Agent - Yorkdale S/C,Old Navy,11/17/2020,https://ca.linkedin.com/jobs/view/loss-prevention-agent-yorkdale-s-c-at-old-navy-2285298700?refId=412f1083-75c4-43ea-8c5d-a396cdccd1bd&position=19&pageNum=2&trk=public_jobs_job-result-card_result-card_full-click,Trade,retail store,Full Time
Meat Department Clerk (Full-Time),Whole Foods Market,11/25/2020,https://ca.linkedin.com/jobs/view/meat-department-clerk-full-time-at-whole-foods-market-2322094175?refId=412f1083-75c4-43ea-8c5d-a396cdccd1bd&position=20&pageNum=2&trk=public_jobs_job-result-card_result-card_full-click,Trade,retail store,Full Time
Assistant Store Manager,Dollarama,11/27/2020,https://ca.linkedin.com/jobs/view/assistant-store-manager-at-dollarama-2324205504?refId=412f1083-75c4-43ea-8c5d-a396cdccd1bd&position=21&pageNum=2&trk=public_jobs_job-result-card_result-card_full-click,Trade,retail store,Full Time
"Produce Manager in Toronto, ON #JoinOurFamily",Sobeys,11/21/2020,https://ca.linkedin.com/jobs/view/produce-manager-in-toronto-on-%23joinourfamily-at-sobeys-2295919272?refId=412f1083-75c4-43ea-8c5d-a396cdccd1bd&position=22&pageNum=2&trk=public_jobs_job-result-card_result-card_full-click,Trade,retail store,Full Time
Assistant Store Manager - North York District,Money Mart Financial Services,11/14/2020,https://ca.linkedin.com/jobs/view/assistant-store-manager-north-york-district-at-money-mart-financial-services-2183099598?refId=412f1083-75c4-43ea-8c5d-a396cdccd1bd&position=23&pageNum=2&trk=public_jobs_job-result-card_result-card_full-click,Trade,retail store,Full Time
Customer Service Representative - Toronto North,Money Mart Financial Inc,11/10/2020,https://ca.linkedin.com/jobs/view/customer-service-representative-toronto-north-at-money-mart-financial-inc-2297935965?refId=412f1083-75c4-43ea-8c5d-a396cdccd1bd&position=24&pageNum=2&trk=public_jobs_job-result-card_result-card_full-click,Trade,retail store,Full Time
Assistant Team Leader,Dollarama,11/26/2020,https://ca.linkedin.com/jobs/view/assistant-team-leader-at-dollarama-2323253825?refId=412f1083-75c4-43ea-8c5d-a396cdccd1bd&position=25&pageNum=2&trk=public_jobs_job-result-card_result-card_full-click,Trade,retail store,Full Time
Sales Associate - Toronto,Roots Canada,11/27/2020,https://ca.linkedin.com/jobs/view/sales-associate-toronto-at-roots-canada-2323724650?refId=982a02cf-c5ae-4036-8dbe-e05b0225645b&position=1&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,Trade,retail store,Full Time
Retail Store Associate,36 Knots,11/19/2020,https://ca.linkedin.com/jobs/view/retail-store-associate-at-36-knots-2315102315?refId=982a02cf-c5ae-4036-8dbe-e05b0225645b&position=2&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,Trade,retail store,Full Time
"Manager, Retail Communications and Task Management",SEPHORA,11/9/2020,https://ca.linkedin.com/jobs/view/manager-retail-communications-and-task-management-at-sephora-2295452163?refId=982a02cf-c5ae-4036-8dbe-e05b0225645b&position=3&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,Trade,retail store,Full Time
Assistant Store Manager - Toronto Downtown,Money Mart Financial Services,11/17/2020,https://ca.linkedin.com/jobs/view/assistant-store-manager-toronto-downtown-at-money-mart-financial-services-2285299775?refId=982a02cf-c5ae-4036-8dbe-e05b0225645b&position=4&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,Trade,retail store,Full Time
Assistant Store Manager - Toronto Downtown,Money Mart Financial Inc,11/26/2020,https://ca.linkedin.com/jobs/view/assistant-store-manager-toronto-downtown-at-money-mart-financial-inc-2323252775?refId=982a02cf-c5ae-4036-8dbe-e05b0225645b&position=5&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,Trade,retail store,Full Time
Retail-Sales Specialist,Apollo Health and Beauty Care,11/26/2020,https://ca.linkedin.com/jobs/view/retail-sales-specialist-at-apollo-health-and-beauty-care-2323450905?refId=982a02cf-c5ae-4036-8dbe-e05b0225645b&position=6&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,Trade,retail store,Full Time
LWS - Customer Service Associate - Sales Floor,"Lowe's Companies, Inc.",11/26/2020,https://ca.linkedin.com/jobs/view/lws-customer-service-associate-sales-floor-at-lowe-s-companies-inc-2323500123?refId=982a02cf-c5ae-4036-8dbe-e05b0225645b&position=7&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,Trade,retail store,Full Time
Assistant Store Manager,Lowe's Canada,10/30/2020,https://ca.linkedin.com/jobs/view/assistant-store-manager-at-lowe-s-canada-2258491480?refId=982a02cf-c5ae-4036-8dbe-e05b0225645b&position=8&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,Trade,retail store,Full Time
"Retail Merchandising Supervisor - Toronto, CAN, Wonderful Sales",Wonderful Sales,11/21/2020,https://ca.linkedin.com/jobs/view/retail-merchandising-supervisor-toronto-can-wonderful-sales-at-wonderful-sales-2295901621?refId=982a02cf-c5ae-4036-8dbe-e05b0225645b&position=9&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,Trade,retail store,Full Time
Key Leader | YORKDALE,lululemon,11/16/2020,https://ca.linkedin.com/jobs/view/key-leader-yorkdale-at-lululemon-2285211055?refId=982a02cf-c5ae-4036-8dbe-e05b0225645b&position=10&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,Trade,retail store,Full Time
Director of Retail,White Ash Group,11/12/2020,https://ca.linkedin.com/jobs/view/director-of-retail-at-white-ash-group-2322056250?refId=982a02cf-c5ae-4036-8dbe-e05b0225645b&position=11&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,Trade,retail store,Full Time
Retail Sales Specialist Full Time Canada,"Advantage Solutions: Sales, Marketing, Technology",10/31/2020,https://ca.linkedin.com/jobs/view/retail-sales-specialist-full-time-canada-at-advantage-solutions-sales-marketing-technology-2230223617?refId=982a02cf-c5ae-4036-8dbe-e05b0225645b&position=12&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,Trade,retail store,Full Time
Sales Associate (Eyewear Consultant),Clearly,11/17/2020,https://ca.linkedin.com/jobs/view/sales-associate-eyewear-consultant-at-clearly-2312210551?refId=982a02cf-c5ae-4036-8dbe-e05b0225645b&position=13&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,Trade,retail store,Full Time
Front End (Cashier/Customer Service) Team Leader,Whole Foods Market,11/25/2020,https://ca.linkedin.com/jobs/view/front-end-cashier-customer-service-team-leader-at-whole-foods-market-2322090897?refId=982a02cf-c5ae-4036-8dbe-e05b0225645b&position=14&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,Trade,retail store,Full Time
Clerk Grocery Open Availability including overnight.,Sobeys,11/26/2020,https://ca.linkedin.com/jobs/view/clerk-grocery-open-availability-including-overnight-at-sobeys-2307253778?refId=982a02cf-c5ae-4036-8dbe-e05b0225645b&position=15&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,Trade,retail store,Full Time
Retail Store Supervisor,Augusta Fruit Market,11/19/2020,https://ca.linkedin.com/jobs/view/retail-store-supervisor-at-augusta-fruit-market-2316719141?refId=982a02cf-c5ae-4036-8dbe-e05b0225645b&position=16&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,Trade,retail store,Full Time
"Seasonal Sales Associate (Brick Specialist) - Yorkdale, CAN",the LEGO Group,11/5/2020,https://ca.linkedin.com/jobs/view/seasonal-sales-associate-brick-specialist-yorkdale-can-at-the-lego-group-2184163221?refId=982a02cf-c5ae-4036-8dbe-e05b0225645b&position=17&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,Trade,retail store,Full Time
Assistant Store Manager,francesca’s®,11/9/2020,https://ca.linkedin.com/jobs/view/assistant-store-manager-at-francesca%E2%80%99s%C2%AE-2295017137?refId=982a02cf-c5ae-4036-8dbe-e05b0225645b&position=18&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,Trade,retail store,Full Time
Assistant Store Manager,Dollarama,11/1/2020,https://ca.linkedin.com/jobs/view/assistant-store-manager-at-dollarama-2323258031?refId=982a02cf-c5ae-4036-8dbe-e05b0225645b&position=19&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,Trade,retail store,Full Time
"Customer Service Specialist, Pharmacy Enhanced Support (6 Months Contract)",Loblaw Companies Limited,11/24/2020,https://ca.linkedin.com/jobs/view/customer-service-specialist-pharmacy-enhanced-support-6-months-contract-at-loblaw-companies-limited-2301919566?refId=982a02cf-c5ae-4036-8dbe-e05b0225645b&position=20&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,Trade,retail store,Full Time
Sales Lead II,Stuart Weitzman,11/22/2020,https://ca.linkedin.com/jobs/view/sales-lead-ii-at-stuart-weitzman-2203707981?refId=982a02cf-c5ae-4036-8dbe-e05b0225645b&position=21&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,Trade,retail store,Full Time
Sales / Service Representative - Toronto,Moen Incorporated,11/27/2020,https://ca.linkedin.com/jobs/view/sales-service-representative-toronto-at-moen-incorporated-2323710797?refId=982a02cf-c5ae-4036-8dbe-e05b0225645b&position=22&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,Trade,retail store,Full Time
E-Commerce Coordinator - Toronto,YM INC.,11/27/2020,https://ca.linkedin.com/jobs/view/e-commerce-coordinator-toronto-at-ym-inc-2323717880?refId=982a02cf-c5ae-4036-8dbe-e05b0225645b&position=23&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,Trade,retail store,Full Time
Customer Service & Electronics Repair,Asurion,11/20/2020,https://ca.linkedin.com/jobs/view/customer-service-electronics-repair-at-asurion-2195963833?refId=982a02cf-c5ae-4036-8dbe-e05b0225645b&position=24&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,Trade,retail store,Full Time
Supervisor I,kate spade new york,11/23/2020,https://ca.linkedin.com/jobs/view/supervisor-i-at-kate-spade-new-york-1938038230?refId=982a02cf-c5ae-4036-8dbe-e05b0225645b&position=25&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,Trade,retail store,Full Time
"Engineering Manager, Retail",Square,11/20/2020,https://ca.linkedin.com/jobs/view/engineering-manager-retail-at-square-2197070813?refId=9d02be31-9df6-4295-8cd9-62b7cc6c4fb2&position=1&pageNum=1&trk=public_jobs_job-result-card_result-card_full-click,Trade,retail store,Full Time
E-Commerce Coordinator ON YM Inc.,Urban Planet,11/27/2020,https://ca.linkedin.com/jobs/view/e-commerce-coordinator-on-ym-inc-at-urban-planet-2323731107?refId=9d02be31-9df6-4295-8cd9-62b7cc6c4fb2&position=2&pageNum=1&trk=public_jobs_job-result-card_result-card_full-click,Trade,retail store,Full Time
Sales Lead - Toronto,INTERMIX,11/4/2020,https://ca.linkedin.com/jobs/view/sales-lead-toronto-at-intermix-2272692200?refId=9d02be31-9df6-4295-8cd9-62b7cc6c4fb2&position=3&pageNum=1&trk=public_jobs_job-result-card_result-card_full-click,Trade,retail store,Full Time
Sales Associate (F.Time) - Upper Canada Mall,Linen Chest,10/31/2020,https://ca.linkedin.com/jobs/view/sales-associate-f-time-upper-canada-mall-at-linen-chest-2304365281?refId=9d02be31-9df6-4295-8cd9-62b7cc6c4fb2&position=4&pageNum=1&trk=public_jobs_job-result-card_result-card_full-click,Trade,retail store,Full Time
Sales Manager,Suitsupply,11/27/2020,https://ca.linkedin.com/jobs/view/sales-manager-at-suitsupply-2309484604?refId=9d02be31-9df6-4295-8cd9-62b7cc6c4fb2&position=5&pageNum=1&trk=public_jobs_job-result-card_result-card_full-click,Trade,retail store,Full Time
Store Manager - Rogers - Fairview Mall,Rogers Communications,11/16/2020,https://ca.linkedin.com/jobs/view/store-manager-rogers-fairview-mall-at-rogers-communications-2277279469?refId=9d02be31-9df6-4295-8cd9-62b7cc6c4fb2&position=6&pageNum=1&trk=public_jobs_job-result-card_result-card_full-click,Trade,retail store,Full Time
Retail Marketing Manager NA,INFARM,11/26/2020,https://ca.linkedin.com/jobs/view/retail-marketing-manager-na-at-infarm-2307814575?refId=9d02be31-9df6-4295-8cd9-62b7cc6c4fb2&position=7&pageNum=1&trk=public_jobs_job-result-card_result-card_full-click,Trade,retail store,Full Time
Oakley Regional Market Manager Canada,Luxottica,11/20/2020,https://ca.linkedin.com/jobs/view/oakley-regional-market-manager-canada-at-luxottica-2294439181?refId=9d02be31-9df6-4295-8cd9-62b7cc6c4fb2&position=8&pageNum=1&trk=public_jobs_job-result-card_result-card_full-click,Trade,retail store,Full Time
"Merchandising Development Lead, Visual Merchandising",The Home Depot Canada,11/4/2020,https://ca.linkedin.com/jobs/view/merchandising-development-lead-visual-merchandising-at-the-home-depot-canada-2274193674?refId=9d02be31-9df6-4295-8cd9-62b7cc6c4fb2&position=9&pageNum=1&trk=public_jobs_job-result-card_result-card_full-click,Trade,retail store,Full Time
District Manager,Shoppers Drug Mart,11/12/2020,https://ca.linkedin.com/jobs/view/district-manager-at-shoppers-drug-mart-2285209546?refId=9d02be31-9df6-4295-8cd9-62b7cc6c4fb2&position=10&pageNum=1&trk=public_jobs_job-result-card_result-card_full-click,Trade,retail store,Full Time
Team Leader- North York Store,MEC,11/3/2020,https://ca.linkedin.com/jobs/view/team-leader-north-york-store-at-mec-2293313131?refId=9d02be31-9df6-4295-8cd9-62b7cc6c4fb2&position=11&pageNum=1&trk=public_jobs_job-result-card_result-card_full-click,Trade,retail store,Full Time
"Key Holder - 30 hrs - Hudson's Bloor - Toronto,ON",The Estée Lauder Companies Inc.,11/20/2020,https://ca.linkedin.com/jobs/view/key-holder-30-hrs-hudson-s-bloor-toronto-on-at-the-est%C3%A9e-lauder-companies-inc-2294434578?refId=9d02be31-9df6-4295-8cd9-62b7cc6c4fb2&position=12&pageNum=1&trk=public_jobs_job-result-card_result-card_full-click,Trade,retail store,Full Time
Dulux Store Sales Specialist Part Time,PPG Industries,11/10/2020,https://ca.linkedin.com/jobs/view/dulux-store-sales-specialist-part-time-at-ppg-industries-2296461349?refId=9d02be31-9df6-4295-8cd9-62b7cc6c4fb2&position=13&pageNum=1&trk=public_jobs_job-result-card_result-card_full-click,Trade,retail store,Full Time
"Store Manager, Winners One York",TJX Canada/Winners Merchants International L.P.,11/9/2020,https://ca.linkedin.com/jobs/view/store-manager-winners-one-york-at-tjx-canada-winners-merchants-international-l-p-2261966994?refId=9d02be31-9df6-4295-8cd9-62b7cc6c4fb2&position=14&pageNum=1&trk=public_jobs_job-result-card_result-card_full-click,Trade,retail store,Full Time
Store Manager,Sherwin-Williams,11/25/2020,https://ca.linkedin.com/jobs/view/store-manager-at-sherwin-williams-2321447200?refId=9d02be31-9df6-4295-8cd9-62b7cc6c4fb2&position=15&pageNum=1&trk=public_jobs_job-result-card_result-card_full-click,Trade,retail store,Full Time
"Senior Manager, Store Support and Operational Excellence",Staples Canada,11/18/2020,https://ca.linkedin.com/jobs/view/senior-manager-store-support-and-operational-excellence-at-staples-canada-2288667724?refId=9d02be31-9df6-4295-8cd9-62b7cc6c4fb2&position=16&pageNum=1&trk=public_jobs_job-result-card_result-card_full-click,Trade,retail store,Full Time
Store Leader Canada (Manager),7-Eleven,11/24/2020,https://ca.linkedin.com/jobs/view/store-leader-canada-manager-at-7-eleven-2320394269?refId=9d02be31-9df6-4295-8cd9-62b7cc6c4fb2&position=17&pageNum=1&trk=public_jobs_job-result-card_result-card_full-click,Trade,retail store,Full Time
"Sales Associate, Toronto - Bilingual",Thai Away Home,11/20/2020,https://ca.linkedin.com/jobs/view/sales-associate-toronto-bilingual-at-thai-away-home-2316612282?refId=9d02be31-9df6-4295-8cd9-62b7cc6c4fb2&position=18&pageNum=1&trk=public_jobs_job-result-card_result-card_full-click,Trade,retail store,Full Time
Loss Prevention Agent - Toronto Eaton Centre,Old Navy,11/17/2020,https://ca.linkedin.com/jobs/view/loss-prevention-agent-toronto-eaton-centre-at-old-navy-2286301262?refId=9d02be31-9df6-4295-8cd9-62b7cc6c4fb2&position=19&pageNum=1&trk=public_jobs_job-result-card_result-card_full-click,Trade,retail store,Full Time
Produce Manager - Toronto,Farm Boy Inc.,11/27/2020,https://ca.linkedin.com/jobs/view/produce-manager-toronto-at-farm-boy-inc-2323723302?refId=9d02be31-9df6-4295-8cd9-62b7cc6c4fb2&position=20&pageNum=1&trk=public_jobs_job-result-card_result-card_full-click,Trade,retail store,Full Time
